Datum;A;B;C;;;;
01.03.2019;9,2;11,9;7,6;5,6;3;51,9;-1,5
02.03.2019;9,2;12,3;7,1;0;3;54;16,4
03.03.2019;11,1;13,6;7,7;0;3;59,6;11,6
04.03.2019;9,9;14,3;4,8;4,4;3;72;-0,6
05.03.2019;6,7;10,6;4,6;2,9;3;87;7
06.03.2019;10,7;17,3;4;0;3;102,1;23,1
07.03.2019;10,9;13,4;9;1;3;89,4;12,2
08.03.2019;9,2;12,9;6,2;0,1;3;121,9;31,6
09.03.2019;10,2;11,9;7,9;0,2;3;51;2,6
10.03.2019;11,2;16;7,4;5,7;3;98,6;11,1
11.03.2019;6;8;3,6;0;3;105,3;20,1
12.03.2019;7,2;11;1,9;0;3;149,2;47,1
13.03.2019;7,3;11,4;5,1;2,7;3;112,8;26,6
14.03.2019;5,9;8,1;4,6;2,8;3;36,5;-18,8
15.03.2019;9,7;13,2;6,3;6,5;3;25;-13,5
16.03.2019;12,2;14,4;10,8;0,3;3;86;16,2
17.03.2019;10,7;19,4;5,7;0,8;3;123,4;25,3
18.03.2019;5,7;10,1;3,2;0,7;3;117,8;27,9
19.03.2019;6;11,3;2;0;3;151,5;47
20.03.2019;6,4;13;0;0;3;187,1;49,6
21.03.2019;8,6;17;1,2;0;3;188,3;51,2
22.03.2019;10,6;20,2;2,5;0;3;172,5;45,6
23.03.2019;11,9;19,8;4,3;0;3;186,1;52,9
24.03.2019;10,6;16,8;4,3;0;3;173,5;60,7
25.03.2019;7,5;10,1;4,5;0,7;3;118,6;24,4
26.03.2019;6,8;10,8;4;0;3;108,1;48,3
27.03.2019;8,7;12,5;5,4;0;3;100,1;37,4
28.03.2019;9,4;15,1;2;0;3;160,5;65,2
29.03.2019;12,7;17,7;7,9;0;3;204,6;66,4
30.03.2019;13;20,7;5,8;0;3;202;62
31.03.2019;13,4;21,1;5,5;0;3;195,3;60,6
01.04.2019;13,1;18,9;7,6;0,00;4,00;185,8;61,7
02.04.2019;14,4;22,4;7,5;0,00;4,00;97,5;7,1
03.04.2019;11,1;18,1;5,5;3,50;4,00;110,9;38,9
04.04.2019;5,8;7,2;4,7;0,00;4,00;37,5;0,7
05.04.2019;7,6;10,2;5,1;0,00;4,00;65,1;33,6
06.04.2019;9,7;16,7;3,0;0,00;4,00;114,2;32,9
07.04.2019;11,8;17,0;5,6;0,30;4,00;143,8;65,4
08.04.2019;12,2;14,8;9,5;0,10;4,00;70,3;29,2
09.04.2019;11,8;14,1;9,9;2,00;4,00;54,5;18,6
10.04.2019;11,4;14,2;9,1;3,20;4,00;70,5;23,0
11.04.2019;9,1;13,3;5,3;0,00;4,00;206,1;82,7
12.04.2019;6,7;10,7;3,0;0,00;4,00;142,4;58,9
13.04.2019;5,2;7,8;3,5;0,00;4,00;74,4;23,2
14.04.2019;6,2;11,1;2,8;0,00;4,00;135,1;60,8
15.04.2019;10,6;18,2;2,4;0,00;4,00;218,3;91,9
16.04.2019;12,2;19,1;4,4;0,00;4,00;187,4;79,2
17.04.2019;14,3;20,4;10,4;0,90;4,00;147,5;63,1
18.04.2019;15,2;22,6;7,2;0,00;4,00;245,1;101,1
19.04.2019;16,9;24,6;8,2;0,00;4,00;242,0;96,3
