Datum;MedTemp;MaxTemp;MinTemp;Niederschlag;Monat;MedGlobalstrahlung;MedStarhlungBilanz
01.01.2014;6,2;9,8;2,4;0,00;1,00;44,9;-17,8
02.01.2014;7,0;10,0;4,8;1,60;1,00;24,3;-37,1
03.01.2014;7,8;10,8;4,3;0,30;1,00;22,4;-35,1
04.01.2014;7,7;9,7;5,6;1,33;1,00;11,9;-31,8
05.01.2014;5,8;8,6;1,4;0,72;1,00;29,1;-41,2
06.01.2014;7,1;12,2;1,0;0,00;1,00;33,8;-10,0
07.01.2014;11,4;14,5;7,6;0,00;1,00;27,1;-15,1
08.01.2014;11,7;15,9;8,6;0,09;1,00;39,8;-23,1
09.01.2014;11,8;17,1;6,7;4,05;1,00;45,7;-15,9
10.01.2014;6,1;9,6;2,5;2,10;1,00;41,4;-47,9
11.01.2014;4,6;8,8;1,4;2,75;1,00;11,1;-35,7
12.01.2014;3,6;6,8;1,5;0,17;1,00;45,0;-39,0
13.01.2014;5,5;9,9;0,5;3,96;1,00;31,9;-13,8
14.01.2014;6,0;7,4;4,1;0,69;1,00;11,8;-24,2
15.01.2014;4,6;7,1;1,6;0,00;1,00;61,8;-32,7
16.01.2014;7,4;9,8;5,4;2,31;1,00;16,0;-27,7
17.01.2014;6,5;9,8;2,9;0,00;1,00;33,4;-26,7
18.01.2014;3,5;7,4;0,7;0,00;1,00;47,7;-28,2
19.01.2014;3,3;5,9;1,6;0,00;1,00;38,8;-4,1
20.01.2014;4,2;5,5;2,8;0,00;1,00;9,0;-9,7
21.01.2014;4,9;5,6;3,7;1,18;1,00;8,0;-20,6
22.01.2014;5,4;6,4;4,5;0,00;1,00;13,9;-4,2
23.01.2014;5,1;5,8;4,2;0,39;1,00;23,1;-17,9
24.01.2014;3,2;4,8;2,0;1,45;1,00;16,9;-26,5
25.01.2014;3,7;5,5;2,7;0,02;1,00;19,8;-5,9
26.01.2014;4,7;6,7;2,2;2,41;1,00;50,5;-14,0
27.01.2014;3,9;5,7;1,2;2,00;1,00;37,7;-41,8
28.01.2014;3,6;8,2;0,1;0,00;1,00;76,8;-19,8
29.01.2014;0,7;3,0;-0,9;0,00;1,00;52,8;-18,9
30.01.2014;1,3;4,7;-1,1;0,00;1,00;54,1;-7,7
31.01.2014;1,7;6,3;-1,2;0,00;1,00;63,7;-22,3
